episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.16187329217791557,True,False
2,460.0,702,1087,0.2,0.025979083692866632,0.7483470421284437,True,False
3,430.0,506,1593,0.2,0.02794830399055738,2.4544986670371145,True,False
4,680.0,920,2513,0.2,0.026409307358983863,9.858598000137135,True,False
5,470.0,483,2996,0.2,0.024370812209157565,11.560572083108127,True,False
6,550.0,464,3460,0.2,0.028140578480439406,13.124549750005826,True,False
7,510.0,614,4074,0.2,0.03322126369792481,15.180783583084121,True,False
8,710.0,713,4787,0.2,0.036131166873939254,17.573996625142172,True,False
9,640.0,633,5420,0.2,0.03579990391593145,19.716876375023276,True,False
10,890.0,810,6230,0.2,0.03399888998805776,22.41420333296992,True,False
11,1480.0,909,7139,0.2,0.03822238504115311,25.421094708144665,True,False
12,540.0,719,7858,0.2,0.04034041892866501,29.073503375053406,True,False
13,1230.0,814,8672,0.2,0.04103933856423086,31.885491958120838,True,False
14,310.0,404,9076,0.2,0.03783368212655002,33.28799979202449,True,False
15,1070.0,820,9896,0.2,0.03639963011529933,36.031557417009026,True,False
16,1480.0,971,10867,0.2,0.04191780268178083,39.265967208193615,True,False
17,790.0,788,11655,0.2,0.04597041800117054,41.90736358310096,True,False
18,760.0,676,12331,0.2,0.0431971628378702,44.16922454209998,True,False
19,1310.0,747,13078,0.2,0.0432251868271493,46.670031832996756,True,False
20,830.0,793,13871,0.2,0.04463107886399622,49.33023804216646,True,False
21,330.0,411,14282,0.2,0.04614237416987714,50.72437050007284,True,False
22,280.0,347,14629,0.2,0.047477920957166575,51.90079720807262,True,False
23,2080.0,653,15282,0.2,0.04837267511764233,54.08758404199034,True,False
24,1290.0,644,15926,0.2,0.045558335013710746,56.24391512502916,True,False
25,310.0,334,16260,0.2,0.04945635519799821,57.38380550011061,True,False
26,670.0,591,16851,0.2,0.04721978465316906,60.14128258312121,True,False
27,570.0,594,17445,0.2,0.050493252298000876,62.13977341703139,True,False
28,690.0,560,18005,0.2,0.057386482061286055,64.03098637517542,True,False
29,230.0,328,18333,0.2,0.04999657177434462,65.15805766708218,True,False
30,380.0,485,18818,0.2,0.053910341036836965,66.78547670808621,True,False
31,350.0,386,19204,0.2,0.05200138513824528,68.12107129208744,True,False
32,1260.0,933,20137,0.2,0.05663230068294148,71.21586570818909,True,False
33,910.0,888,21025,0.2,0.057119117277833795,74.21828475012444,True,False
34,440.0,469,21494,0.2,0.06075352225771062,75.80040912516415,True,False
35,1240.0,740,22234,0.2,0.05312456659267883,78.28064954211004,True,False
36,740.0,689,22923,0.2,0.05584676450843988,80.60617108317092,True,False
37,400.0,494,23417,0.2,0.05192165735418037,82.27598441718146,True,False
38,1170.0,918,24335,0.2,0.05541153107952798,85.34575612517074,True,False
39,970.0,694,25029,0.2,0.0567383764408015,87.69215383310802,True,False
40,1640.0,907,25936,0.2,0.05345780985011403,90.76371212513186,True,False
41,410.0,468,26404,0.2,0.0580560071951049,92.34775583306327,True,False
42,510.0,538,26942,0.2,0.06199372039913242,94.1725452921819,True,False
43,360.0,388,27330,0.2,0.06881373080895427,95.49752779211849,True,False
44,520.0,540,27870,0.2,0.06586975866790723,97.34309516707435,True,False
45,2040.0,1103,28973,0.2,0.060835485168617975,101.01767520816065,True,False
46,580.0,600,29573,0.2,0.05955536415179571,103.0505710830912,True,False
47,550.0,493,30066,0.2,0.06146721462757001,104.7229135830421,True,False
48,260.0,351,30417,0.2,0.06912175859112969,105.93396891700104,True,False
49,320.0,498,30915,0.2,0.06989831333949921,107.62250758311711,True,False
50,470.0,517,31432,0.2,0.06313482148286242,109.36622099997476,True,False
51,1000.0,535,31967,0.2,0.07079511001720128,111.88990420801565,True,False
52,530.0,608,32575,0.2,0.06829531529097278,113.9445526250638,True,False
53,550.0,538,33113,0.2,0.06925777094783607,115.75859545799904,True,False
54,880.0,799,33912,0.2,0.0710126437433064,118.4267556250561,True,False
55,730.0,826,34738,0.2,0.07382995829673357,124.52562941703945,True,False
56,440.0,526,35264,0.2,0.0670446268614438,126.36492924997583,True,False
57,370.0,469,35733,0.2,0.06553643532734141,128.5883777081035,True,False
58,550.0,519,36252,0.2,0.06792049534045733,130.9546790001914,True,False
59,520.0,702,36954,0.2,0.06597252177872828,135.19539408315904,True,False
60,350.0,361,37315,0.2,0.06711740565693212,136.60315729212016,True,False
61,460.0,501,37816,0.2,0.0774352712822812,140.95729900011793,True,False
62,440.0,400,38216,0.2,0.0746737973112613,144.11326120817102,True,False
63,360.0,470,38686,0.2,0.06898035775296964,147.88115754211321,True,False
64,550.0,847,39533,0.2,0.07212350994374885,150.78122862498276,True,False
65,330.0,351,39884,0.2,0.0668285589940338,153.8413446249906,True,False
66,1130.0,1060,40944,0.2,0.07669059741750078,157.4120302919764,True,False
67,1670.0,666,41610,0.2,0.06815201785774475,159.61890720808879,True,False
68,1360.0,690,42300,0.2,0.0809120053393131,161.90701529197395,True,False
69,340.0,391,42691,0.2,0.06952004018479709,163.21415216708556,True,False
70,330.0,449,43140,0.2,0.0811356428961179,164.73372895806096,True,False
71,360.0,439,43579,0.2,0.07736908864024855,166.19154154206626,True,False
72,190.0,325,43904,0.2,0.09340666775114653,167.2923817501869,True,False
73,1170.0,1082,44986,0.2,0.08231630852721908,170.8810308331158,True,False
74,300.0,383,45369,0.2,0.0735016108083073,172.17961404216476,True,False
75,400.0,398,45767,0.2,0.08879308688520181,173.5256922079716,True,False
76,980.0,801,46568,0.2,0.08252704306853129,176.97479125019163,True,False
77,370.0,413,46981,0.2,0.07453716051701492,178.36718800012022,True,False
78,900.0,695,47676,0.2,0.08393106198516385,180.68080233316869,True,False
79,940.0,903,48579,0.2,0.0897409482796987,183.69601616705768,True,False
80,510.0,558,49137,0.2,0.075764224744801,185.56971845799126,True,False
81,1620.0,952,50089,0.2,0.08529280565146889,188.74163470813073,True,False
82,370.0,397,50486,0.2,0.0813910255509645,190.08536058315076,True,False
83,1160.0,670,51156,0.2,0.07785262978480507,192.33903224999085,True,False
84,700.0,593,51749,0.2,0.08776284297424797,194.3126982920803,True,False
85,320.0,398,52147,0.2,0.08228859241412144,195.65497808298096,True,False
86,1190.0,755,52902,0.2,0.08621972696313625,198.16392195806839,True,False
87,350.0,388,53290,0.2,0.10148386150291286,199.48019237513654,True,False
88,1000.0,783,54073,0.2,0.09255169345807208,202.0969239170663,True,False
89,570.0,571,54644,0.2,0.08883267597432111,204.06465029204264,True,False
90,320.0,365,55009,0.2,0.10136489706257215,205.30184325017035,True,False
91,990.0,712,55721,0.2,0.10647810529394264,207.68761525000446,True,False
92,490.0,425,56146,0.2,0.10462635170387209,209.10884279198945,True,False
93,800.0,602,56748,0.2,0.10618968082234165,211.15288791712373,True,False
94,550.0,489,57237,0.2,0.09665950160229304,212.78979266714305,True,False
95,450.0,492,57729,0.2,0.10961912846480443,217.05621770815924,True,False
96,1530.0,651,58380,0.2,0.10222757391723021,219.34735770802945,True,False
97,510.0,501,58881,0.2,0.13036815679073332,221.0230364999734,True,False
98,1290.0,996,59877,0.2,0.10022613601422453,224.31897004204802,True,False
99,490.0,543,60420,0.2,0.09368257540935541,226.13960979203694,True,False
100,560.0,799,61219,0.2,0.09515099529289271,228.78007583296858,True,False
101,1270.0,725,61944,0.2,0.08744648814835883,231.85821454203688,True,False
102,380.0,437,62381,0.2,0.10767006381081605,233.32639800012112,True,False
103,800.0,670,63051,0.2,0.08672740961798651,235.56618991703726,True,False
104,600.0,558,63609,0.2,0.10579418961756996,237.45721608307213,True,False
105,400.0,450,64059,0.2,0.09553491545375437,238.9617389170453,True,False
106,460.0,507,64566,0.2,0.09386962804737992,240.65018062503077,True,False
107,460.0,483,65049,0.2,0.09697852617760827,242.2765430000145,True,False
108,600.0,654,65703,0.2,0.09615463461795468,244.48962862510234,True,False
109,830.0,611,66314,0.2,0.11285945965476285,246.53921729209833,True,False
110,500.0,492,66806,0.2,0.09873360739945154,248.19394870800897,True,False
111,350.0,431,67237,0.2,0.11270317528396845,249.65271633304656,True,False
112,2320.0,842,68079,0.2,0.09809656998231298,252.4588387501426,True,False
113,1180.0,1041,69120,0.2,0.10341953431966204,255.9461227080319,True,False
114,410.0,513,69633,0.2,0.09686216275440529,257.68523833318613,True,False
115,570.0,520,70153,0.2,0.10130729347180861,259.44715324998833,True,False
