episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.16354787489399314,True,False
2,460.0,702,1087,0.2,0.025979083692866632,0.7507856250740588,True,False
3,430.0,506,1593,0.2,0.02794830399055738,2.5119002498686314,True,False
4,680.0,920,2513,0.2,0.026409307358983863,7.83710104203783,True,False
5,470.0,483,2996,0.2,0.024370812209157565,9.528573625022545,True,False
6,550.0,464,3460,0.2,0.028140578480439406,11.095137666910887,True,False
7,510.0,614,4074,0.2,0.03322126369792481,13.129583166912198,True,False
8,710.0,713,4787,0.2,0.036131166873939254,15.469086125027388,True,False
9,640.0,633,5420,0.2,0.03579990391593145,17.56472387490794,True,False
10,890.0,810,6230,0.2,0.03399888998805776,20.25904279202223,True,False
11,1480.0,909,7139,0.2,0.03822238504115311,23.259718749905005,True,False
12,540.0,719,7858,0.2,0.04034041892866501,25.67474566702731,True,False
13,1230.0,814,8672,0.2,0.04103933856423086,28.41348012490198,True,False
14,310.0,404,9076,0.2,0.03783368212655002,29.792656125035137,True,False
15,1070.0,820,9896,0.2,0.03639963011529933,32.538068833062425,True,False
16,1480.0,971,10867,0.2,0.04191780268178083,35.77661716705188,True,False
17,790.0,788,11655,0.2,0.04597041800117054,38.41932750004344,True,False
18,760.0,676,12331,0.2,0.0431971628378702,40.69472983293235,True,False
19,1310.0,747,13078,0.2,0.0432251868271493,43.20327245793305,True,False
20,830.0,793,13871,0.2,0.04463107886399622,45.85891812504269,True,False
21,330.0,411,14282,0.2,0.04614237416987714,47.25431600003503,True,False
22,280.0,347,14629,0.2,0.047477920957166575,48.440056500025094,True,False
23,2080.0,653,15282,0.2,0.04837267511764233,50.616125124972314,True,False
24,1290.0,644,15926,0.2,0.045558335013710746,52.77278129197657,True,False
25,310.0,334,16260,0.2,0.04945635519799821,53.911082667065784,True,False
26,670.0,591,16851,0.2,0.04721978465316906,56.65653070807457,True,False
27,570.0,594,17445,0.2,0.050493252298000876,59.79488674993627,True,False
28,690.0,560,18005,0.2,0.057386482061286055,61.73433841695078,True,False
29,230.0,328,18333,0.2,0.04999657177434462,62.86325395805761,True,False
30,380.0,485,18818,0.2,0.053910341036836965,65.67018945794553,True,False
31,350.0,386,19204,0.2,0.05200138513824528,69.23726349999197,True,False
32,1260.0,933,20137,0.2,0.05663230068294148,72.39203445799649,True,False
33,910.0,888,21025,0.2,0.057119117277833795,75.3656068330165,True,False
34,440.0,469,21494,0.2,0.06075352225771062,76.94829937489703,True,False
35,1240.0,740,22234,0.2,0.05312456659267883,79.43028387497179,True,False
36,740.0,689,22923,0.2,0.05584676450843988,81.73681679205038,True,False
37,400.0,494,23417,0.2,0.05192165735418037,83.39992049988359,True,False
38,1170.0,918,24335,0.2,0.05541153107952798,86.46248204191215,True,False
39,970.0,694,25029,0.2,0.0567383764408015,88.80489600007422,True,False
40,1640.0,907,25936,0.2,0.05345780985011403,91.87164166686125,True,False
41,410.0,468,26404,0.2,0.0580560071951049,93.45364441699348,True,False
42,510.0,538,26942,0.2,0.06199372039913242,95.2552168329712,True,False
43,360.0,388,27330,0.2,0.06881373080895427,96.5842637498863,True,False
44,520.0,540,27870,0.2,0.06586975866790723,98.41493225004524,True,False
45,2040.0,1103,28973,0.2,0.060835485168617975,102.0943986249622,True,False
46,580.0,600,29573,0.2,0.05955536415179571,104.11565745808184,True,False
47,550.0,493,30066,0.2,0.06146721462757001,105.77958129206672,True,False
48,260.0,351,30417,0.2,0.06912175859112969,106.98780937492847,True,False
49,320.0,498,30915,0.2,0.06989831333949921,108.67613662499934,True,False
50,470.0,517,31432,0.2,0.06313482148286242,110.42510108300485,True,False
51,1000.0,535,31967,0.2,0.07079511001720128,112.96274958294816,True,False
52,530.0,608,32575,0.2,0.06829531529097278,115.02571570803411,True,False
53,550.0,538,33113,0.2,0.06925777094783607,116.83881724998355,True,False
54,880.0,799,33912,0.2,0.0710126437433064,119.51809158292599,True,False
55,730.0,826,34738,0.2,0.07382995829673357,124.37080366699956,True,False
56,440.0,526,35264,0.2,0.0670446268614438,126.2195408330299,True,False
57,370.0,469,35733,0.2,0.06553643532734141,127.8085182919167,True,False
58,550.0,519,36252,0.2,0.06792049534045733,129.59259854187258,True,False
59,520.0,702,36954,0.2,0.06597252177872828,134.89833312504925,True,False
60,350.0,361,37315,0.2,0.06711740565693212,136.17096733301878,True,False
61,460.0,501,37816,0.2,0.0774352712822812,137.865973707987,True,False
62,440.0,400,38216,0.2,0.0746737973112613,139.22485912498087,True,False
63,360.0,470,38686,0.2,0.06898035775296964,140.8034027919639,True,False
64,550.0,847,39533,0.2,0.07212350994374885,143.6411547078751,True,False
65,330.0,351,39884,0.2,0.0668285589940338,144.85321750002913,True,False
